epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5891.74,1.1632,1.70965,0.86778,0.0098,0.85714,0.01495,0.00676,1.59732,4.77789,0.96273,0.00040905,0.00040905,0.00040905
61,5892.8,1.44847,1.65203,0.86542,0.0098,0.85714,0.01495,0.00676,1.59732,4.77789,0.96273,0.000406081,0.000406081,0.000406081
62,5893.75,1.18076,1.71511,0.9138,0.0098,0.85714,0.01495,0.00676,1.59732,4.77789,0.96273,0.000402782,0.000402782,0.000402782
63,5894.91,1.53096,1.79914,0.94369,0.0096,0.85714,0.01683,0.00799,1.57598,4.98886,0.97168,0.000399153,0.000399153,0.000399153
64,5896.22,1.52942,1.80976,0.93296,0.0096,0.85714,0.01683,0.00799,1.57598,4.98886,0.97168,0.000395194,0.000395194,0.000395194
65,5897.25,1.1691,1.58744,1.03282,0.0096,0.85714,0.01683,0.00799,1.57598,4.98886,0.97168,0.000390905,0.000390905,0.000390905
66,5898.26,1.56717,2.50562,0.92038,0.0078,0.71429,0.02775,0.01419,1.51157,3.76438,0.98187,0.000386286,0.000386286,0.000386286
67,5899.32,1.05238,1.55238,0.84936,0.0078,0.71429,0.02775,0.01419,1.51157,3.76438,0.98187,0.000381336,0.000381336,0.000381336
68,5900.68,1.04666,1.40346,0.85628,0.0078,0.71429,0.02775,0.01419,1.51157,3.76438,0.98187,0.000376057,0.000376057,0.000376057
69,5901.8,1.23516,1.57094,0.89096,0.00945,0.85714,0.06421,0.04093,1.41213,3.52289,0.95529,0.000370447,0.000370447,0.000370447
70,5902.98,1.19627,1.57036,1.01328,0.00945,0.85714,0.06421,0.04093,1.41213,3.52289,0.95529,0.000364508,0.000364508,0.000364508
71,5903.96,1.17143,1.78988,0.87887,0.00945,0.85714,0.06421,0.04093,1.41213,3.52289,0.95529,0.000358238,0.000358238,0.000358238
72,5905,1.24565,1.55392,0.88915,0.00785,0.71429,0.33879,0.22669,1.40451,3.41858,0.94579,0.000351639,0.000351639,0.000351639
73,5906.02,1.10045,1.28112,0.96092,0.00785,0.71429,0.33879,0.22669,1.40451,3.41858,0.94579,0.000344709,0.000344709,0.000344709
74,5907.25,1.28292,1.47643,0.93816,0.00785,0.71429,0.33879,0.22669,1.40451,3.41858,0.94579,0.000337449,0.000337449,0.000337449
75,5908.37,1.04194,2.119,0.82797,0.00799,0.71429,0.40678,0.28433,1.36913,3.37627,0.93703,0.000329859,0.000329859,0.000329859
76,5909.4,1.36529,2.08407,0.92342,0.00799,0.71429,0.40678,0.28433,1.36913,3.37627,0.93703,0.000321939,0.000321939,0.000321939
77,5910.41,1.12129,1.40544,0.92963,0.00799,0.71429,0.40678,0.28433,1.36913,3.37627,0.93703,0.000313689,0.000313689,0.000313689
78,5911.47,1.81271,2.02419,1.05107,0.00979,0.85714,0.61101,0.41811,1.28033,3.17077,0.92248,0.000305109,0.000305109,0.000305109
79,5912.4,1.19799,1.75362,1.03361,0.00979,0.85714,0.61101,0.41811,1.28033,3.17077,0.92248,0.000296199,0.000296199,0.000296199
80,5913.34,0.99619,1.18097,0.83959,0.00979,0.85714,0.61101,0.41811,1.28033,3.17077,0.92248,0.000286959,0.000286959,0.000286959
81,5914.32,1.454,1.58953,0.76856,0.00992,0.85714,0.62821,0.47198,1.15019,3.01993,0.90957,0.000277389,0.000277389,0.000277389
82,5915.27,1.35828,1.48706,0.84611,0.00992,0.85714,0.62821,0.47198,1.15019,3.01993,0.90957,0.000267488,0.000267488,0.000267488
83,5916.21,1.03239,1.46853,0.83986,0.00992,0.85714,0.62821,0.47198,1.15019,3.01993,0.90957,0.000257258,0.000257258,0.000257258
84,5917.18,1.17451,1.14717,0.9418,0.01003,0.85714,0.69965,0.48952,1.01395,2.84184,0.8907,0.000246698,0.000246698,0.000246698
85,5918.16,1.31382,2.2023,0.94406,0.01003,0.85714,0.69965,0.48952,1.01395,2.84184,0.8907,0.000235807,0.000235807,0.000235807
86,5919.12,0.79841,1.57473,0.95529,0.01003,0.85714,0.69965,0.48952,1.01395,2.84184,0.8907,0.000224587,0.000224587,0.000224587
87,5920.07,1.10511,1.57591,0.82701,0.01003,0.85714,0.69965,0.48952,1.01395,2.84184,0.8907,0.000213036,0.000213036,0.000213036
88,5921.05,1.39713,1.30621,0.85854,0.01017,0.85714,0.71075,0.49051,1.01771,2.70039,0.88809,0.000201155,0.000201155,0.000201155
89,5922,1.73494,1.97174,0.95967,0.01017,0.85714,0.71075,0.49051,1.01771,2.70039,0.88809,0.000188944,0.000188944,0.000188944
90,5922.94,1.31778,1.99249,0.91295,0.01017,0.85714,0.71075,0.49051,1.01771,2.70039,0.88809,0.000176404,0.000176404,0.000176404
91,5924.04,1.01312,1.50442,0.88561,0.01017,0.85714,0.71075,0.49051,1.01771,2.70039,0.88809,0.000163533,0.000163533,0.000163533
92,5925.11,1.11769,2.09964,0.97731,0.43282,0.57143,0.63565,0.45744,1.06451,2.60065,0.88848,0.000150332,0.000150332,0.000150332
93,5926.24,1.03822,1.69242,0.85312,0.43282,0.57143,0.63565,0.45744,1.06451,2.60065,0.88848,0.000136801,0.000136801,0.000136801
94,5927.53,1.36189,1.97283,0.92171,0.43282,0.57143,0.63565,0.45744,1.06451,2.60065,0.88848,0.00012294,0.00012294,0.00012294
95,5928.59,1.22907,1.69196,0.95087,0.43282,0.57143,0.63565,0.45744,1.06451,2.60065,0.88848,0.000108748,0.000108748,0.000108748
96,5929.62,1.31618,2.11887,0.83488,0.87396,0.57143,0.63123,0.43281,1.11318,2.4662,0.89352,9.42272e-05,9.42272e-05,9.42272e-05
97,5930.57,1.03882,1.93293,0.83075,0.87396,0.57143,0.63123,0.43281,1.11318,2.4662,0.89352,7.93759e-05,7.93759e-05,7.93759e-05
98,5931.55,1.02089,1.62119,0.96712,0.87396,0.57143,0.63123,0.43281,1.11318,2.4662,0.89352,6.41945e-05,6.41945e-05,6.41945e-05
99,5932.54,1.00809,1.73361,0.82006,0.87396,0.57143,0.63123,0.43281,1.11318,2.4662,0.89352,4.86831e-05,4.86831e-05,4.86831e-05
100,5933.52,1.00561,1.82625,0.86366,0.90906,0.57143,0.63119,0.43429,1.13875,2.33722,0.89708,3.28416e-05,3.28416e-05,3.28416e-05
