epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,87.688,1.75719,2.15326,1.05218,0.0102,0.85714,0.71777,0.42429,1.28137,2.80961,0.92667,0.000188944,0.000188944,0.000188944
90,88.6105,1.08028,1.88197,0.84609,0.0102,0.85714,0.71777,0.42429,1.28137,2.80961,0.92667,0.000176404,0.000176404,0.000176404
91,89.5847,1.09013,1.52023,0.88635,0.0102,0.85714,0.71777,0.42429,1.28137,2.80961,0.92667,0.000163533,0.000163533,0.000163533
92,90.5773,1.22291,2.12833,0.92482,0.77789,0.71429,0.71774,0.4292,1.23498,2.67561,0.92317,0.000150332,0.000150332,0.000150332
93,91.5164,1.19448,1.9921,0.86282,0.77789,0.71429,0.71774,0.4292,1.23498,2.67561,0.92317,0.000136801,0.000136801,0.000136801
94,92.6853,1.13951,1.99027,0.88168,0.77789,0.71429,0.71774,0.4292,1.23498,2.67561,0.92317,0.00012294,0.00012294,0.00012294
95,93.8258,1.13239,1.65968,0.96443,0.77789,0.71429,0.71774,0.4292,1.23498,2.67561,0.92317,0.000108748,0.000108748,0.000108748
96,94.8493,1.47189,2.27282,0.88263,1,0.66653,0.71767,0.42915,1.19922,2.49806,0.93311,9.42272e-05,9.42272e-05,9.42272e-05
97,95.9086,1.15354,1.60748,0.84663,1,0.66653,0.71767,0.42915,1.19922,2.49806,0.93311,7.93759e-05,7.93759e-05,7.93759e-05
98,96.8763,0.88826,1.61792,0.86628,1,0.66653,0.71767,0.42915,1.19922,2.49806,0.93311,6.41945e-05,6.41945e-05,6.41945e-05
99,97.8276,1.31471,1.88318,0.89039,1,0.66653,0.71767,0.42915,1.19922,2.49806,0.93311,4.86831e-05,4.86831e-05,4.86831e-05
100,98.7991,1.22926,1.91808,0.88329,1,0.60722,0.71765,0.45715,1.15529,2.35952,0.92525,3.28416e-05,3.28416e-05,3.28416e-05
