epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,145.103,1.48713,1.50916,1.44543,0.40037,0.21951,0.27144,0.13003,1.73445,6.92464,1.60262,0.000493898,0.000493898,0.000493898
45,147.944,1.60993,1.87276,1.45072,0.78675,0.41463,0.41425,0.23389,1.59551,2.0413,1.53146,0.000496672,0.000496672,0.000496672
46,150.851,1.53262,1.49336,1.56706,0.78675,0.41463,0.41425,0.23389,1.59551,2.0413,1.53146,0.00049905,0.00049905,0.00049905
47,154.097,1.50353,1.48261,1.27906,0.73731,0.41088,0.40521,0.22373,1.60521,1.63556,1.59847,0.000501032,0.000501032,0.000501032
48,157.746,1.55693,2.14049,1.41873,0.73731,0.41088,0.40521,0.22373,1.60521,1.63556,1.59847,0.000502618,0.000502618,0.000502618
49,161.17,1.37709,1.56522,1.61978,0.56299,0.41463,0.41422,0.23306,1.44567,1.5985,1.50921,0.000503808,0.000503808,0.000503808
50,164.369,1.41065,1.40963,1.40569,0.56299,0.41463,0.41422,0.23306,1.44567,1.5985,1.50921,0.000504602,0.000504602,0.000504602
51,167.986,1.38689,1.43692,1.48323,0.47361,0.41463,0.37201,0.22306,1.37061,2.26735,1.44738,0.000505,0.000505,0.000505
52,171.185,1.1411,1.2763,1.38962,0.47361,0.41463,0.37201,0.22306,1.37061,2.26735,1.44738,0.000505002,0.000505002,0.000505002
53,174.772,1.50742,1.71073,1.64133,0.47361,0.41463,0.37201,0.22306,1.37061,2.26735,1.44738,0.000504608,0.000504608,0.000504608
54,178.631,1.59855,1.80482,1.78534,0.71111,0.39024,0.41014,0.26542,1.38345,2.87434,1.44217,0.000503818,0.000503818,0.000503818
55,182.329,1.55746,1.49715,1.60833,0.71111,0.39024,0.41014,0.26542,1.38345,2.87434,1.44217,0.000502632,0.000502632,0.000502632
56,185.873,1.58753,1.27931,1.37917,0.71111,0.39024,0.41014,0.26542,1.38345,2.87434,1.44217,0.00050105,0.00050105,0.00050105
57,189.7,1.44179,1.30103,1.5381,0.76554,0.31863,0.3822,0.25769,1.36229,3.56891,1.39571,0.000499072,0.000499072,0.000499072
58,193.799,1.65223,1.45159,1.31767,0.76554,0.31863,0.3822,0.25769,1.36229,3.56891,1.39571,0.000496698,0.000496698,0.000496698
59,197.799,1.57727,1.53553,1.59889,0.76554,0.31863,0.3822,0.25769,1.36229,3.56891,1.39571,0.000493928,0.000493928,0.000493928
60,201.58,1.34919,1.29554,1.41652,0.83262,0.39024,0.42308,0.26652,1.40174,2.01954,1.39911,0.000490762,0.000490762,0.000490762
61,204.979,1.47321,1.27669,1.44683,0.83262,0.39024,0.42308,0.26652,1.40174,2.01954,1.39911,0.0004872,0.0004872,0.0004872
62,208.556,1.69255,1.82484,1.76905,0.83262,0.39024,0.42308,0.26652,1.40174,2.01954,1.39911,0.000483242,0.000483242,0.000483242
63,212.316,1.56052,1.80616,1.6756,0.93286,0.36585,0.43236,0.26628,1.42726,1.47025,1.48637,0.000478888,0.000478888,0.000478888
64,215.748,1.49273,1.28572,1.35914,0.93286,0.36585,0.43236,0.26628,1.42726,1.47025,1.48637,0.000474138,0.000474138,0.000474138
65,219.339,1.36255,1.13231,1.35048,0.93286,0.36585,0.43236,0.26628,1.42726,1.47025,1.48637,0.000468992,0.000468992,0.000468992
66,222.861,1.3215,1.1302,1.38305,0.98891,0.36585,0.46238,0.27934,1.41177,1.35784,1.43915,0.00046345,0.00046345,0.00046345
67,226.132,1.40194,1.24239,1.56808,0.98891,0.36585,0.46238,0.27934,1.41177,1.35784,1.43915,0.000457512,0.000457512,0.000457512
68,229.609,1.18048,1.11684,1.34334,0.98891,0.36585,0.46238,0.27934,1.41177,1.35784,1.43915,0.000451178,0.000451178,0.000451178
69,232.964,1.34444,1.36979,1.59789,0.72185,0.41463,0.44651,0.26718,1.28657,1.92019,1.32572,0.000444448,0.000444448,0.000444448
70,236.407,1.29372,1.11929,1.37007,0.72185,0.41463,0.44651,0.26718,1.28657,1.92019,1.32572,0.000437322,0.000437322,0.000437322
71,240.452,1.3427,1.36691,1.70653,0.72185,0.41463,0.44651,0.26718,1.28657,1.92019,1.32572,0.0004298,0.0004298,0.0004298
72,243.697,1.51074,1.29695,1.63936,0.74422,0.42605,0.44184,0.27928,1.30153,2.47747,1.35046,0.000421882,0.000421882,0.000421882
73,246.969,1.09506,1.23409,1.36108,0.74422,0.42605,0.44184,0.27928,1.30153,2.47747,1.35046,0.000413568,0.000413568,0.000413568
74,251.219,1.26179,1.05682,1.26884,0.74422,0.42605,0.44184,0.27928,1.30153,2.47747,1.35046,0.000404858,0.000404858,0.000404858
